species,localities
ablepharus deserti,N/A
acanthosaura lepidogaster,N/A
achalinus ater,N/A
achalinus dehuaensis,N/A
achalinus formosanus,N/A
achalinus hainanus,N/A
achalinus huangjietangi,N/A
achalinus jinggangensis,N/A
achalinus meiguensis,N/A
achalinus niger,N/A
achalinus ningshanensis,N/A
achalinus panzhihuaensis,N/A
achalinus pingbianensis,N/A
achalinus rufescens,N/A
achalinus spinalis,N/A
achalinus yangdatongi,N/A
achalinus yunkaiensis,N/A
acrochordus granulatus,N/A
ahaetulla fronticincta,N/A
ahaetulla nasuta,N/A
ahaetulla prasina,N/A
aipysurus eydouxii,N/A
alligator sinensis,N/A
alsophylax pipiens,N/A
alsophylax przewalskii,N/A
altiphylax tokobajevi,N/A
amphiesma stolatum,N/A
amphiesmoides ornaticeps,N/A
anolis sagrei,N/A
archelaphe bella,N/A
argyrophis diardii,N/A
argyrophis koshunensis,N/A
asymblepharus alaicus,N/A
asymblepharus ladacensis,N/A
asymblepharus sikimmensis,N/A
ateuchosaurus chinensis,N/A
azemiops feae,N/A
blythia reticulata,N/A
boiga cyanea,N/A
boiga guangxiensis,N/A
boiga kraepelini,N/A
boiga multifasciata,N/A
boiga multomaculata,N/A
boiga trigonata,N/A
bungarus bungaroides,N/A
bungarus caeruleus,N/A
bungarus fasciatus,N/A
bungarus magnimaculatus,N/A
bungarus multicinctus,N/A
bungarus niger,N/A
bungarus wanghaotingi,N/A
calamaria arcana,N/A
calamaria pavimentata,N/A
calamaria septentrionalis,N/A
calamaria yunnanensis,N/A
calotes emma,N/A
calotes jerdoni,N/A
calotes medogensis,N/A
calotes mystaceus,N/A
calotes versicolor,N/A
caretta caretta,N/A
chelonia mydas,N/A
chrysopelea ornata,N/A
coelognathus helenae,N/A
coelognathus radiatus,N/A
crocodylus palustris,N/A
cuora galbinifrons,N/A
cuora mouhotii,N/A
cuora trifasciata,N/A
cylindrophis ruffus,N/A
cyrtodactylus cayuensis,N/A
cyrtodactylus medogensis,N/A
cyrtodactylus tibetanus,N/A
cyrtodactylus zhaoermii,N/A
cyrtopodion scabrum,N/A
daboia russelii,N/A
daboia siamensis,N/A
deinagkistrodon acutus,N/A
dendrelaphis biloreatus,N/A
dendrelaphis cyanochloris,N/A
dendrelaphis ngansonensis,N/A
dendrelaphis pictus,N/A
dendrelaphis subocularis,N/A
dendrelaphis tristis,N/A
dendrelaphis vogeli,N/A
dermochelys coriacea,N/A
dibamus bourreti,N/A
diploderma batangense,N/A
diploderma brevicaudum,N/A
diploderma brevipes,N/A
diploderma dymondi,N/A
diploderma fasciatum,N/A
diploderma flaviceps,N/A
diploderma grahami,N/A
diploderma iadinum,N/A
diploderma laeviventre,N/A
diploderma luei,N/A
diploderma makii,N/A
